	0
265	heart tissue,muscle,liver,brain,blood,blood,blood,blood,blood,blood,blood
266	heart tissue,muscle,blood,blood,blood,blood
267	blood,whole insect,breast
268	blood,blood,breast
269	blood,whole insect,breast
270	algae,blood,whole insect
271	intestine,liver,lung
272	intestine,feces,feces
273	intestine,feces,feces
274	intestine,yeast cells,bacterial cells,feces,feces
275	intestine,liver,liver,adipose tissue,bacterial cells,blood,feces,feces
276	intestine,yeast cells,bacterial cells,feces
277	intestine,yeast cells,bacterial cells,bacterial cells,lung,lung,feces,feces
278	intestine,intestine,liver,bacterial cells,lung
279	intestine,feces,feces
280	intestine,intestine,cultured cells,b cells
281	intestine,feces,feces
282	intestine,liver,feces
283	intestine,urine,feces
284	intestine,feces,feces
285	intestine,blood,blood,lung
286	intestine,urine,feces
287	intestine,yeast cells,kidney,cultured cells,cultured cells,liver,bacterial cells,bacterial cells,bacterial cells,blood,blood,blood,blood,lung,lung
288	intestine,cultured cells,cultured cells,b cells
289	intestine,yeast cells,kidney,bacterial cells,bacterial cells,lung
290	intestine,urine,b cells
291	algae,heart tissue,heart tissue,macrophages,muscle,brain,blood,blood,blood,blood,blood,plant
292	algae,heart tissue,macrophages,muscle,liver,brain,blood,blood,blood,blood,blood,blood,blood
293	algae,macrophages,brain,blood
294	algae,blood,whole insect
295	algae,blood,whole insect
296	algae,macrophages,feces
297	liver,blood,blood
298	intestine,liver,blood,feces
299	liver,blood,feces
300	liver,blood,blood
301	liver,blood,blood
302	kidney,liver,liver,blood,lung
303	intestine,algae,cultured cells,liver,blood,lung,lung
304	liver,liver,blood
305	cultured cells,liver,bacterial cells,blood,feces,feces
306	mononuclear cells,retina,hek cells
307	mononuclear cells,retina,cultured cells,hek cells
308	mononuclear cells,retina,cultured cells,hek cells
309	mononuclear cells,retina,hek cells
310	mononuclear cells,retina,cultured cells,hek cells
311	mononuclear cells,retina,cultured cells,hek cells
312	mononuclear cells,retina,cultured cells,hek cells
313	mononuclear cells,retina,cultured cells,hek cells
314	mononuclear cells,retina,cultured cells,hek cells
315	mononuclear cells,retina,cultured cells,hek cells
316	mononuclear cells,retina,cultured cells,hek cells
317	mononuclear cells,cultured cells,hek cells
318	mononuclear cells,cultured cells,hek cells
319	mononuclear cells,cultured cells,hek cells
320	mononuclear cells,cultured cells,hek cells
321	mononuclear cells,cultured cells,hek cells
322	intestine,kidney,blood
323	urine,kidney,liver,b cells
324	kidney,blood,feces
325	intestine,kidney,blood,lung
326	kidney,feces,feces
327	kidney,cultured cells,blood,lung
328	kidney,liver,lung
